86	117.1	83.425	82.572	79.797	eight	1
87	117.35	83.54	82.572	79.863	eight	1
88	117.6	83.655	82.572	79.929	eight	1
89	117.84	83.77	82.572	79.995	eight	1
90	118.09	83.885	82.572	80.06	eight	1
91	118.34	84	82.572	80.126	eight	1
92	118.58	84.115	82.572	80.192	one	1
93	118.83	84.23	82.572	80.257	one	1
94	118.77	84.124	82.572	80.257	one	1
95	118.71	84.018	82.572	80.257	one	1
96	118.65	83.912	82.572	80.257	one	1
97	118.59	83.806	82.572	80.257	one	1
98	118.53	83.7	82.572	80.257	one	1
99	118.46	83.594	82.572	80.257	one	1
100	118.4	83.488	82.572	80.257	one	1
101	118.34	83.383	82.572	80.257	one	1
102	118.28	83.277	82.572	80.257	one	1
103	118.22	83.171	82.572	80.257	one	1
104	118.16	83.065	82.572	80.257	one	1
105	118.1	82.959	82.572	80.257	one	1
106	118.04	82.853	82.572	80.257	one	1
107	117.98	82.747	82.572	80.257	one	1
108	117.92	82.641	82.572	80.257	one	1
109	117.86	82.535	82.572	80.257	one	1
110	117.8	82.429	82.572	80.257	one	1
111	117.74	82.323	82.572	80.257	one	1
112	117.68	82.217	82.572	80.257	one	1
113	117.62	82.111	82.572	80.257	one	1
114	117.56	82.006	82.572	80.257	one	1
115	117.5	81.9	82.572	80.257	one	1
116	117.44	81.794	82.572	80.257	one	1
117	117.38	81.688	82.572	80.257	one	1
118	117.31	81.582	82.572	80.257	one	1
119	117.25	81.476	82.572	80.257	one	1
120	117.19	81.37	82.572	80.257	one	1
121	117.13	81.264	82.572	80.257	one	1
122	117.07	81.158	82.572	80.257	one	1
123	117.01	81.052	82.572	80.257	one	1
124	116.95	80.946	82.572	80.257	one	1
125	116.89	80.84	82.572	80.257	one	1
126	116.83	80.735	82.572	80.257	one	1
127	116.77	80.629	82.572	80.257	one	1
128	116.71	80.523	82.572	80.257	one	1
129	116.65	80.417	82.572	80.257	one	1
130	116.59	80.311	82.572	80.257	one	1
131	116.53	80.205	82.572	80.257	one	1
132	116.47	80.099	82.572	80.257	one	1
133	116.41	79.993	82.572	80.257	one	1
134	116.35	79.887	82.572	80.257	one	1
135	116.29	79.781	82.572	80.257	one	1
136	116.23	79.675	82.572	80.257	one	1
137	116.16	79.569	82.572	80.257	one	1
138	116.1	79.463	82.572	80.257	one	1
139	116.04	79.358	82.572	80.257	one	1
140	115.98	79.252	82.572	80.257	one	1
141	115.92	79.146	82.572	80.257	one	1
142	115.86	79.04	82.572	80.257	one	1
143	115.8	78.934	82.572	80.257	one	1
144	115.74	78.828	82.572	80.257	one	1
145	115.51	78.977	82.532	80.217	one	1
146	115.28	79.126	82.491	80.176	one	1
147	115.05	79.275	82.45	80.135	one	1
148	114.82	79.424	82.41	80.095	one	1
149	114.59	79.573	82.369	80.054	one	1
150	114.36	79.722	82.329	80.014	one	1
151	114.13	79.87	82.288	79.973	one	1
152	113.9	80.019	82.247	79.932	one	1
153	113.67	80.168	82.207	79.892	one	1
154	113.44	80.317	82.166	79.851	one	1
155	113.21	80.466	82.126	79.81	one	1
156	112.98	80.615	82.085	79.77	one	1
157	112.75	80.764	82.044	79.729	one	1
158	112.52	80.913	82.004	79.689	one	1
159	112.29	81.062	81.963	79.648	one	1
160	112.06	81.211	81.922	79.607	one	1
161	111.83	81.36	81.882	79.567	one	1
162	111.6	81.509	81.841	79.526	one	1
163	111.37	81.658	81.801	79.486	one	1
164	111.14	81.806	81.76	79.445	one	1
165	110.91	81.955	81.719	79.404	one	1
166	110.68	82.104	81.679	79.364	one	1
167	110.45	82.253	81.638	79.323	one	1
168	110.22	82.402	81.598	79.282	one	1
169	109.99	82.551	81.557	79.242	one	1
170	109.76	82.7	81.516	79.201	one	1
171	109.53	82.849	81.476	79.161	one	1
172	109.3	82.998	81.435	79.12	one	1
173	109.07	83.147	81.394	79.079	one	1
174	108.84	83.296	81.354	79.039	one	1
175	108.61	83.445	81.313	78.998	one	1
176	108.38	83.594	81.273	78.958	one	1
177	108.15	83.743	81.232	78.917	one	1
178	107.92	83.891	81.191	78.876	one	1
179	107.69	84.04	81.151	78.836	one	1
180	107.46	84.189	81.11	78.795	one	1
181	107.23	84.338	81.07	78.754	one	1
182	107	84.487	81.029	78.714	one	1
